parkingDuration,tripDuration,ratio,trip,tripFrom,tripTo,datetimeBegin,datetimeEnd,mileage,tripDurationTime,parkingDurationTime,avgSpeed,maxSpeed,consumed,avgConsumed,timestampBegin,timestampEnd,nm
0.35,3.54,0.22,Cerro Azul - Mina Cerro Lindo,Cerro Azul,Mina Cerro Lindo,2022-05-12 17:38:37,2022-05-12 21:11:10,124,3:32:33,0:21:03,35.0,83,16.94,7.32,1652395117,1652407870,BBA-880
1.0,3.71,0.18,Mina Cerro Lindo - Cerro Azul,Mina Cerro Lindo,Cerro Azul,2022-05-12 23:22:18,2022-05-13 03:04:54,104,3:42:36,1:00:13,28.0,88,11.89,8.78,1652415738,1652429094,BBA-880
6.72,17.06,0.21,Cerro Azul - Mina Cerro Lindo,Cerro Azul,Mina Cerro Lindo,2022-05-13 04:01:52,2022-05-13 21:05:28,437,17:03:36,6:42:58,26.0,85,52.0,8.33,1652432512,1652493928,BBA-880
1.02,3.51,0.18,Mina Cerro Lindo - Cerro Azul,Mina Cerro Lindo,Cerro Azul,2022-05-13 23:08:45,2022-05-14 02:39:28,104,3:30:43,1:01:08,30.0,79,11.06,9.39,1652501325,1652513968,BBA-880
1.42,4.15,0.25,Cerro Azul - Mina Cerro Lindo,Cerro Azul,Mina Cerro Lindo,2022-05-14 16:28:16,2022-05-14 20:37:03,125,4:08:47,1:25:10,30.0,80,16.55,7.53,1652563696,1652578623,BBA-880
0.72,3.1,0.19,Mina Cerro Lindo - Cerro Azul,Mina Cerro Lindo,Cerro Azul,2022-05-14 23:38:38,2022-05-15 02:44:43,104,3:06:05,0:43:07,34.0,78,10.83,9.62,1652589518,1652600683,BBA-880
2.14,5.05,0.24,Cerro Azul - Mina Cerro Lindo,Cerro Azul,Mina Cerro Lindo,2022-05-15 16:06:16,2022-05-15 21:09:02,125,5:02:46,2:08:09,25.0,78,16.43,7.59,1652648776,1652666942,BBA-880
0.77,3.34,0.17,Mina Cerro Lindo - Cerro Azul,Mina Cerro Lindo,Cerro Azul,2022-05-15 22:51:54,2022-05-16 02:12:27,105,3:20:33,0:46:09,31.0,78,10.69,9.79,1652673114,1652685147,BBA-880
0.52,3.33,0.25,Cerro Azul - Mina Cerro Lindo,Cerro Azul,Mina Cerro Lindo,2022-05-16 18:36:14,2022-05-16 21:55:48,125,3:19:34,0:31:06,37.0,78,16.85,7.4,1652744174,1652756148,BBA-880
0.89,3.38,0.19,Mina Cerro Lindo - Cerro Azul,Mina Cerro Lindo,Cerro Azul,2022-05-17 00:18:14,2022-05-17 03:41:08,105,3:22:54,0:53:07,31.0,83,11.36,9.2,1652764694,1652776868,BBA-880
1.05,3.81,0.23,Cerro Azul - Mina Cerro Lindo,Cerro Azul,Mina Cerro Lindo,2022-05-20 17:52:14,2022-05-20 21:40:44,124,3:48:30,1:03:07,33.0,74,15.42,8.07,1653087134,1653100844,BBA-880
0.69,3.07,0.19,Mina Cerro Lindo - Cerro Azul,Mina Cerro Lindo,Cerro Azul,2022-05-20 23:33:54,2022-05-21 02:37:59,104,3:04:05,0:41:06,34.0,78,10.93,9.53,1653107634,1653118679,BBA-880
1.14,3.83,0.23,Cerro Azul - Mina Cerro Lindo,Cerro Azul,Mina Cerro Lindo,2022-05-21 18:37:22,2022-05-21 22:27:13,124,3:49:51,1:08:10,32.0,75,15.06,8.24,1653176242,1653190033,BBA-880
0.62,3.13,0.17,Mina Cerro Lindo - Cerro Azul,Mina Cerro Lindo,Cerro Azul,2022-05-21 23:57:33,2022-05-22 03:05:35,104,3:08:02,0:37:10,33.0,78,10.42,10.0,1653195453,1653206735,BBA-880
0.48,3.11,0.24,Cerro Azul - Mina Cerro Lindo,Cerro Azul,Mina Cerro Lindo,2022-05-22 17:19:33,2022-05-22 20:26:21,124,3:06:48,0:29:05,40.0,79,15.41,8.08,1653257973,1653269181,BBA-880
0.77,3.22,0.19,Mina Cerro Lindo - Cerro Azul,Mina Cerro Lindo,Cerro Azul,2022-05-22 23:22:06,2022-05-23 02:35:06,105,3:13:00,0:46:06,33.0,79,11.12,9.4,1653279726,1653291306,BBA-880
