parkingDuration,tripDuration,ratio,trip,tripFrom,tripTo,datetimeBegin,datetimeEnd,mileage,tripDurationTime,parkingDurationTime,avgSpeed,maxSpeed,consumed,avgConsumed,timestampBegin,timestampEnd,nm
3.29,7.01,0.28,Cerro Azul - Refineria Cajamarquilla,Cerro Azul,Refineria Cajamarquilla,2022-05-13 04:01:52,2022-05-13 11:02:44,156,7:00:52,3:17:18,22.0,77,25.1,6.22,1652432512,1652457764,BBA-880
5.98,15.07,0.18,Refineria Cajamarquilla - Cerro Azul,Refineria Cajamarquilla,Cerro Azul,2022-05-13 11:35:07,2022-05-14 02:39:28,386,15:04:21,5:58:59,26.0,85,39.03,9.9,1652459707,1652513968,BBA-880
2.22,5.53,0.31,Cerro Azul - Refineria Cajamarquilla,Cerro Azul,Refineria Cajamarquilla,2022-05-14 03:51:58,2022-05-14 09:23:28,156,5:31:30,2:13:05,28.0,80,24.24,6.42,1652518318,1652538208,BBA-880
3.11,6.32,0.14,Refineria Cajamarquilla - Cerro Azul,Refineria Cajamarquilla,Cerro Azul,2022-05-14 10:08:57,2022-05-14 16:28:12,155,6:19:15,3:06:27,25.0,80,11.03,14.07,1652540937,1652563692,BBA-880
2.44,5.51,0.31,Cerro Azul - Refineria Cajamarquilla,Cerro Azul,Refineria Cajamarquilla,2022-05-15 03:47:38,2022-05-15 09:18:06,152,5:30:28,2:26:07,28.0,78,22.92,6.65,1652604458,1652624286,BBA-880
3.39,6.24,0.16,Refineria Cajamarquilla - Cerro Azul,Refineria Cajamarquilla,Cerro Azul,2022-05-15 09:51:55,2022-05-15 16:06:16,155,6:14:21,3:23:21,25.0,80,11.09,13.94,1652626315,1652648776,BBA-880
2.25,5.9,0.26,Cerro Azul - Impala Terminals,Cerro Azul,Impala Terminals,2022-05-16 03:48:50,2022-05-16 09:42:54,154,5:54:04,2:15:18,26.0,80,22.85,6.76,1652690930,1652712174,BBA-880
1.95,5.38,0.15,Impala Terminals - Cerro Azul,Impala Terminals,Cerro Azul,2022-05-16 13:13:13,2022-05-16 18:35:56,153,5:22:43,1:57:10,28.0,82,12.64,12.08,1652724793,1652744156,BBA-880
2.65,6.74,0.26,Cerro Azul - Refineria Cajamarquilla,Cerro Azul,Refineria Cajamarquilla,2022-05-17 04:05:55,2022-05-17 10:50:17,154,6:44:22,2:39:18,23.0,78,25.25,6.11,1652778355,1652802617,BBA-880
74.86,78.38,0.15,Refineria Cajamarquilla - Cerro Azul,Refineria Cajamarquilla,Cerro Azul,2022-05-17 11:29:22,2022-05-20 17:51:59,156,3 days 6:22:37,3 days 2:51:42,2.0,77,12.99,12.0,1652804962,1653087119,BBA-880
2.55,5.94,0.29,Cerro Azul - Refineria Cajamarquilla,Cerro Azul,Refineria Cajamarquilla,2022-05-21 04:06:08,2022-05-21 10:02:48,155,5:56:40,2:33:16,26.0,80,23.3,6.66,1653123968,1653145368,BBA-880
4.26,7.94,0.13,Refineria Cajamarquilla - Cerro Azul,Refineria Cajamarquilla,Cerro Azul,2022-05-21 10:40:52,2022-05-21 18:37:22,156,7:56:30,4:15:31,20.0,81,11.26,13.89,1653147652,1653176242,BBA-880
3.9,6.9,0.32,Cerro Azul - Refineria Cajamarquilla,Cerro Azul,Refineria Cajamarquilla,2022-05-22 04:09:41,2022-05-22 11:03:42,152,6:54:01,3:54:14,22.0,79,23.01,6.62,1653210581,1653235422,BBA-880
2.01,4.67,0.16,Refineria Cajamarquilla - Cerro Azul,Refineria Cajamarquilla,Cerro Azul,2022-05-22 12:39:10,2022-05-22 17:19:33,153,4:40:23,2:00:28,33.0,81,10.39,14.72,1653241150,1653257973,BBA-880
2.95,7.1,0.24,Cerro Azul - Impala Terminals,Cerro Azul,Impala Terminals,2022-05-23 03:55:08,2022-05-23 11:01:08,173,7:06:00,2:57:14,24.0,79,24.07,7.2,1653296108,1653321668,BBA-880
1.0,3.66,0.18,Impala Terminals - Cerro Azul,Impala Terminals,Cerro Azul,2022-05-23 13:56:58,2022-05-23 17:36:18,154,3:39:20,1:00:03,42.0,82,11.59,13.32,1653332218,1653345378,BBA-880
2.79,6.08,0.27,Cerro Azul - Impala Terminals,Cerro Azul,Impala Terminals,2022-05-24 05:06:34,2022-05-24 11:11:13,152,6:04:39,2:47:14,25.0,82,21.49,7.07,1653386794,1653408673,BBA-880
1.72,4.7,0.16,Impala Terminals - Cerro Azul,Impala Terminals,Cerro Azul,2022-05-24 13:09:41,2022-05-24 17:51:46,154,4:42:05,1:43:00,33.0,75,11.66,13.19,1653415781,1653432706,BBA-880
1.79,5.22,0.3,Cerro Azul - Refineria Cajamarquilla,Cerro Azul,Refineria Cajamarquilla,2022-05-25 04:02:06,2022-05-25 09:15:19,155,5:13:13,1:47:12,30.0,81,24.39,6.34,1653469326,1653488119,BBA-880
1.67,6.92,0.18,Refineria Cajamarquilla - Cerro Azul,Refineria Cajamarquilla,Cerro Azul,2022-05-25 09:57:12,2022-05-25 16:52:23,223,6:55:11,1:40:08,32.0,76,23.19,9.63,1653490632,1653515543,BBA-880
1.72,5.17,0.3,Cerro Azul - Refineria Cajamarquilla,Cerro Azul,Refineria Cajamarquilla,2022-05-26 04:05:40,2022-05-26 09:15:45,152,5:10:05,1:43:11,29.0,79,24.57,6.2,1653555940,1653574545,BBA-880
3.62,7.23,0.28,Cerro Azul - Refineria Cajamarquilla,Cerro Azul,Refineria Cajamarquilla,2022-05-13 04:02:18,2022-05-13 11:16:19,155,7:14:01,3:37:09,21.0,81,24.29,6.4,1652432538,1652458579,BBB-850
3.32,6.51,0.14,Refineria Cajamarquilla - Cerro Azul,Refineria Cajamarquilla,Cerro Azul,2022-05-13 11:45:56,2022-05-13 18:16:19,155,6:30:23,3:19:03,24.0,90,10.96,14.11,1652460356,1652483779,BBB-850
2.15,5.28,0.29,Cerro Azul - Refineria Cajamarquilla,Cerro Azul,Refineria Cajamarquilla,2022-05-14 04:25:41,2022-05-14 09:42:11,155,5:16:30,2:09:05,29.0,84,22.11,7.01,1652520341,1652539331,BBB-850
3.37,6.23,0.15,Refineria Cajamarquilla - Cerro Azul,Refineria Cajamarquilla,Cerro Azul,2022-05-14 10:14:43,2022-05-14 16:28:16,154,6:13:33,3:22:01,25.0,82,9.99,15.43,1652541283,1652563696,BBB-850
2.52,5.61,0.29,Cerro Azul - Refineria Cajamarquilla,Cerro Azul,Refineria Cajamarquilla,2022-05-15 04:03:30,2022-05-15 09:40:11,152,5:36:41,2:31:03,27.0,84,21.67,7.01,1652605410,1652625611,BBB-850
3.08,5.87,0.14,Refineria Cajamarquilla - Cerro Azul,Refineria Cajamarquilla,Cerro Azul,2022-05-15 10:13:48,2022-05-15 16:06:09,152,5:52:21,3:05:00,26.0,87,9.52,16.0,1652627628,1652648769,BBB-850
1.68,4.86,0.3,Cerro Azul - Refineria Cajamarquilla,Cerro Azul,Refineria Cajamarquilla,2022-05-16 03:48:51,2022-05-16 08:40:41,152,4:51:50,1:41:04,31.0,88,23.17,6.56,1652690931,1652708441,BBB-850
3.02,6.38,0.13,Refineria Cajamarquilla - Cerro Azul,Refineria Cajamarquilla,Cerro Azul,2022-05-16 09:30:05,2022-05-16 15:52:59,154,6:22:54,3:01:05,24.0,87,10.2,15.08,1652711405,1652734379,BBB-850
5.12,9.1,0.22,Cerro Azul - Impala Terminals,Cerro Azul,Impala Terminals,2022-05-17 03:49:58,2022-05-17 12:56:00,154,9:06:02,5:07:03,17.0,84,21.21,7.26,1652777398,1652810160,BBB-850
2.63,5.87,0.14,Impala Terminals - Cerro Azul,Impala Terminals,Cerro Azul,2022-05-17 12:59:59,2022-05-17 18:52:00,152,5:52:01,2:38:01,26.0,83,11.13,13.68,1652810399,1652831520,BBB-850
1.95,5.14,0.28,Cerro Azul - Impala Terminals,Cerro Azul,Impala Terminals,2022-05-21 04:45:11,2022-05-21 09:53:24,152,5:08:13,1:57:04,30.0,87,21.36,7.12,1653126311,1653144804,BBB-850
25.84,28.87,0.18,Impala Terminals - Cerro Azul,Impala Terminals,Cerro Azul,2022-05-21 13:39:26,2022-05-22 18:31:29,154,1 days 4:52:03,1 days 1:50:18,5.0,83,13.41,11.46,1653158366,1653262289,BBB-850
3.0,6.42,0.25,Cerro Azul - Impala Terminals,Cerro Azul,Impala Terminals,2022-05-23 04:17:02,2022-05-23 10:42:21,152,6:25:19,2:59:59,24.0,77,20.72,7.33,1653297422,1653320541,BBB-850
2.17,5.09,0.15,Impala Terminals - Cerro Azul,Impala Terminals,Cerro Azul,2022-05-23 13:23:35,2022-05-23 18:28:52,152,5:05:17,2:10:02,30.0,77,10.8,14.12,1653330215,1653348532,BBB-850
4.6,8.29,0.25,Cerro Azul - Impala Terminals,Cerro Azul,Impala Terminals,2022-05-24 05:06:55,2022-05-24 13:24:35,153,8:17:40,4:36:09,18.0,79,21.85,6.98,1653386815,1653416675,BBB-850
