date,parkingHours,engineHours,moveTimeHours,mileage,avgSpeed,maxSpeed,moveTime,engine,parking,consumed,avgConsumed,timestamp,nm,week
2022-04-27,20.27,4.84,3.83,198.0,8.0,80,3:49:57,4:50:19,20:16:17,22.51,8.7,1651017600.0,BBA-880,w 17
2022-04-28,11.45,12.46,12.64,554.0,23.0,81,12:38:27,12:27:34,11:27:07,64.0,8.68,1651104000.0,BBA-880,w 17
2022-04-29,16.22,7.86,7.56,318.0,14.0,78,7:33:32,7:51:21,16:13:05,36.81,8.81,1651190400.0,BBA-880,w 17
2022-04-30,23.99,0.32,0.0,0.0,0.0,5,0:00:00,0:19:15,23:59:18,0.37,0.44,1651276800.0,BBA-880,w 17
2022-05-01,23.99,0.41,0.0,0.0,0.0,0,0:00:00,0:24:34,23:59:15,0.45,0.34,1651363200.0,BBA-880,w 18
2022-05-02,19.15,5.1,5.5,225.0,9.0,90,5:29:46,5:05:46,19:08:48,40.07,5.24,1651449600.0,BBA-880,w 18
2022-05-03,10.11,13.48,13.83,553.0,23.0,87,13:49:51,13:29:04,10:06:37,97.0,5.75,1651536000.0,BBA-880,w 18
2022-05-04,16.0,8.76,7.41,357.0,15.0,94,7:24:23,8:45:20,16:00:06,40.24,9.22,1651622400.0,BBA-880,w 18
2022-05-05,14.9,9.26,9.09,339.0,14.0,91,9:05:41,9:15:48,14:53:48,43.2,7.84,1651708800.0,BBA-880,w 18
2022-05-06,19.58,5.66,4.41,202.0,8.0,77,4:24:49,5:39:47,19:34:38,23.63,8.53,1651795200.0,BBA-880,w 18
2022-05-07,11.6,11.99,12.37,539.0,22.0,86,12:22:26,11:59:32,11:36:14,63.0,8.5,1651881600.0,BBA-880,w 18
2022-05-08,11.83,12.15,12.15,540.0,23.0,86,12:09:13,12:09:14,11:49:43,64.0,8.44,1651968000.0,BBA-880,w 19
2022-05-09,15.92,8.88,8.06,337.0,14.0,82,8:03:33,8:53:02,15:55:13,40.88,8.27,1652054400.0,BBA-880,w 19
2022-05-10,19.49,4.93,4.76,217.0,9.0,84,4:45:50,4:55:32,19:29:22,25.93,8.11,1652140800.0,BBA-880,w 19
2022-05-11,10.9,13.31,12.84,522.0,22.0,94,12:50:20,13:18:30,10:54:12,63.0,8.41,1652227200.0,BBA-880,w 19
2022-05-12,10.47,13.07,13.57,554.0,23.0,95,13:34:21,13:04:17,10:28:10,67.0,8.22,1652313600.0,BBA-880,w 19
2022-05-13,10.46,13.02,13.6,552.0,23.0,88,13:36:00,13:01:00,10:27:31,65.0,8.43,1652400000.0,BBA-880,w 19
2022-05-14,12.09,11.69,12.31,543.0,22.0,80,12:18:25,11:41:09,12:05:06,64.0,8.28,1652486400.0,BBA-880,w 19
2022-05-15,11.55,11.96,11.94,539.0,23.0,80,11:56:20,11:57:26,11:33:10,63.0,8.81,1652572800.0,BBA-880,w 20
2022-05-16,11.65,11.91,12.33,514.0,22.0,82,12:19:37,11:54:31,11:38:54,62.0,8.36,1652659200.0,BBA-880,w 20
2022-05-17,14.62,8.83,9.37,340.0,14.0,83,9:22:28,8:49:58,14:37:04,43.63,7.8,1652745600.0,BBA-880,w 20
