parkingDuration,tripDuration,ratio,Trip,tripFrom,tripTo,begin,end,mileage,tripDurationHour,parkingDurationHour,avgSpeed,maxSpeed,consumed,avgConsumed,timestampBegin,timestampEnd,datetimeBegin,datetimeEnd,xBegin,xEnd,yBegin,yEnd,nm
3.35,9.58,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '02 May 2022 23:39:44', 'v': 1651552784, 'y': -13.0938216667, 'x': -75.9886933333}","{'t': '03 May 2022 09:14:28', 'v': 1651587268, 'y': -11.9713066667, 'x': -76.8832933333}",260.0,9:34:44,3:21:17,27.0,83.0,35.9,7.23,1651552784,1651587268,2022-05-02 23:39:44,2022-05-03 09:14:28,-75.9886933333,-76.8832933333,-13.0938216667,-11.9713066667,BBA-880
1.87,8.26,0.22,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '05 May 2022 01:03:31', 'v': 1651730611, 'y': -13.0938583333, 'x': -75.9889}","{'t': '05 May 2022 09:18:49', 'v': 1651760329, 'y': -12.04498, 'x': -77.127915}",257.0,8:15:18,1:52:17,31.0,91.0,34.08,7.54,1651730611,1651760329,2022-05-05 01:03:31,2022-05-05 09:18:49,-75.9889,-77.127915,-13.0938583333,-12.04498,BBA-880
6.32,12.54,0.23,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '07 May 2022 00:03:42', 'v': 1651899822, 'y': -13.0938666667, 'x': -75.9888616667}","{'t': '07 May 2022 12:35:53', 'v': 1651944953, 'y': -12.0433183333, 'x': -77.12854}",260.0,12:32:11,6:19:24,21.0,79.0,33.59,7.74,1651899822,1651944953,2022-05-07 00:03:42,2022-05-07 12:35:53,-75.9888616667,-77.12854,-13.0938666667,-12.0433183333,BBA-880
3.57,9.4,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '08 May 2022 00:51:32', 'v': 1651989092, 'y': -13.0936483333, 'x': -75.98832}","{'t': '08 May 2022 10:15:35', 'v': 1652022935, 'y': -11.9712683333, 'x': -76.8832633333}",257.0,9:24:03,3:34:23,27.0,86.0,34.13,7.54,1651989092,1652022935,2022-05-08 00:51:32,2022-05-08 10:15:35,-75.98832,-76.8832633333,-13.0936483333,-11.9712683333,BBA-880
4.34,10.13,0.23,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '09 May 2022 00:45:29', 'v': 1652075129, 'y': -13.0938466667, 'x': -75.988915}","{'t': '09 May 2022 10:53:31', 'v': 1652111611, 'y': -12.0453216667, 'x': -77.129715}",257.0,10:08:02,4:20:23,25.0,82.0,32.64,7.88,1652075129,1652111611,2022-05-09 00:45:29,2022-05-09 10:53:31,-75.988915,-77.129715,-13.0938466667,-12.0453216667,BBA-880
4.87,11.68,0.2,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '12 Feb 2022 00:14:35', 'v': 1644642875, 'y': -13.0938683333, 'x': -75.9889066667}","{'t': '12 Feb 2022 11:55:06', 'v': 1644684906, 'y': -12.0431483333, 'x': -77.1307216667}",266.0,11:40:31,4:52:10,23.0,92.0,32.91,8.09,1644642875,1644684906,2022-02-12 00:14:35,2022-02-12 11:55:06,-75.9889066667,-77.1307216667,-13.0938683333,-12.0431483333,BBB-850
2.97,8.81,0.22,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '13 Feb 2022 23:10:16', 'v': 1644811816, 'y': -13.0938516667, 'x': -75.9888533333}","{'t': '14 Feb 2022 07:59:00', 'v': 1644843540, 'y': -11.9711283333, 'x': -76.8831866667}",256.0,8:48:44,2:58:13,29.0,79.0,31.52,8.13,1644811816,1644843540,2022-02-13 23:10:16,2022-02-14 07:59:00,-75.9888533333,-76.8831866667,-13.0938516667,-11.9711283333,BBB-850
3.03,8.92,0.22,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '14 Feb 2022 23:23:43', 'v': 1644899023, 'y': -13.0938716667, 'x': -75.9887933333}","{'t': '15 Feb 2022 08:18:43', 'v': 1644931123, 'y': -11.9711533333, 'x': -76.8832016667}",256.0,8:55:00,3:02:05,29.0,77.0,31.31,8.18,1644899023,1644931123,2022-02-14 23:23:43,2022-02-15 08:18:43,-75.9887933333,-76.8832016667,-13.0938716667,-11.9711533333,BBB-850
2.85,8.87,0.23,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '15 Feb 2022 23:45:53', 'v': 1644986753, 'y': -13.0937883333, 'x': -75.9884866667}","{'t': '16 Feb 2022 08:38:09', 'v': 1645018689, 'y': -11.9712283333, 'x': -76.883285}",257.0,8:52:16,2:51:16,29.0,79.0,32.56,7.88,1644986753,1645018689,2022-02-15 23:45:53,2022-02-16 08:38:09,-75.9884866667,-76.883285,-13.0937883333,-11.9712283333,BBB-850
3.17,8.96,0.23,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '16 Feb 2022 23:48:20', 'v': 1645073300, 'y': -13.0938616667, 'x': -75.9886016667}","{'t': '17 Feb 2022 08:46:08', 'v': 1645105568, 'y': -11.9711466667, 'x': -76.8832166667}",256.0,8:57:48,3:10:10,29.0,84.0,31.85,8.05,1645073300,1645105568,2022-02-16 23:48:20,2022-02-17 08:46:08,-75.9886016667,-76.8832166667,-13.0938616667,-11.9711466667,BBB-850
